model,preset,ranker_recognizer,mean_top1_ranker_distance,mean_source_gallery_distance,source_match_top1_rate,source_match_top5_rate,image_count
hyperswap_1c_256,preset_D,adaface,0.25187344551086427,1.017953836917877,0.0,0.0,10
hyperswap_1c_256,preset_B,adaface,0.2540722131729126,1.0138786852359771,0.0,0.0,10
hyperswap_1a_256,preset_D,adaface,0.2446080505847931,0.9941225230693818,0.0,0.0,10
hyperswap_1a_256,preset_B,adaface,0.24611356854438782,0.9907347619533539,0.0,0.0,10
hyperswap_1c_256,preset_A,adaface,0.23686888217926025,0.9740520596504212,0.0,0.0,10
hyperswap_1a_256,preset_E,adaface,0.2488377034664154,0.9594415724277496,0.0,0.0,10
hyperswap_1a_256,preset_C,adaface,0.24752155542373658,0.9590856015682221,0.0,0.0,10
hyperswap_1a_256,preset_A,adaface,0.22954359650611877,0.9509413361549377,0.0,0.0,10
inswapper_128_fp16,preset_B,adaface,0.2251690447330475,0.8921929895877838,0.0,0.0,10
inswapper_128_fp16,preset_E,adaface,0.23852463960647582,0.8861165046691895,0.0,0.0,10
inswapper_128_fp16,preset_A,adaface,0.20907971262931824,0.8851308286190033,0.0,0.0,10
inswapper_128_fp16,preset_C,adaface,0.2269391894340515,0.8714259624481201,0.0,0.0,10
simswap_unofficial_512,preset_D_1024x1024,adaface,0.40479899644851686,0.814760959148407,0.0,0.2,10
simswap_unofficial_512,preset_B,adaface,0.4090034604072571,0.8100699841976166,0.0,0.3,10
simswap_unofficial_512,preset_A,adaface,0.39373044967651366,0.8007609724998475,0.0,0.3,10
hyperswap_1c_256,preset_D,arcface,0.21919089555740356,1.0271534323692322,0.0,0.0,10
hyperswap_1c_256,preset_B,arcface,0.22110021710395814,1.0232873737812043,0.0,0.0,10
hyperswap_1a_256,preset_D,arcface,0.21583827137947081,1.0100827991962433,0.0,0.0,10
hyperswap_1a_256,preset_B,arcface,0.21792990565299988,1.0072659432888031,0.0,0.0,10
hyperswap_1a_256,preset_E,arcface,0.2261630415916443,0.9732027590274811,0.0,0.0,10
hyperswap_1c_256,preset_A,arcface,0.20958123207092286,0.9726586461067199,0.0,0.0,10
hyperswap_1a_256,preset_C,arcface,0.22383936047554015,0.9676238000392914,0.0,0.0,10
hyperswap_1a_256,preset_A,arcface,0.2055386483669281,0.9583809852600098,0.0,0.0,10
inswapper_128_fp16,preset_B,arcface,0.18152447938919067,0.881406569480896,0.0,0.0,10
inswapper_128_fp16,preset_A,arcface,0.1637832522392273,0.8747965335845947,0.0,0.0,10
inswapper_128_fp16,preset_E,arcface,0.2043299198150635,0.8644903302192688,0.0,0.0,10
inswapper_128_fp16,preset_C,arcface,0.19174392223358155,0.853696870803833,0.0,0.3,10
simswap_unofficial_512,preset_D_1024x1024,arcface,0.4213497042655945,0.7473376333713532,0.0,0.7,10
simswap_unofficial_512,preset_B,arcface,0.4302416741847992,0.7359352469444275,0.0,0.7,10
simswap_unofficial_512,preset_A,arcface,0.4256903946399689,0.7322200536727905,0.0,0.7,10
